강원_합계,강원_종합소매,강원_ 백화점,강원_ 대형마트/유통전문점,강원_ 슈퍼마켓,강원_ 편의점,강원_ 면세점,강원_전자상거래/통신판매,강원_식료품,강원_ 일반식료품,강원_ 건강보조식품,강원_의류/잡화,강원_ 의복/직물,강원_ 복식잡화,강원_ 시계/귀금속/안경,강원_ 화장품,강원_연료,강원_가구/가전,강원_ 가구,강원_ 가전제품/정보통신기기,강원_의료/보건,강원_ 종합병원,강원_ 일반병의원/기타의료기관,강원_자동차,강원_ 국산자동차신품,강원_ 기타운송수단,강원_ 자동차 부품 및 정비,강원_여행/교통,강원_ 여행사/자동차임대,강원_ 항공사,강원_ 대중교통,강원_오락/문화,강원_ 스포츠/오락/여가,강원_ 서적/문구,강원_교육,강원_숙박/음식,강원_ 숙박,강원_ 음식점,강원_공과금/개인 및 전문 서비스,강원_금융/보험,강원_기타
6166.23,1257.25,50.09,705.64,349.16,152.08,0.28,12.33,222.37,208.87,13.5,302.63,183.27,24.29,45.58,49.49,810.91,166.29,33.77,132.52,494.26,127.96,366.31,198.7,1.45,12.44,184.8,15.49,5.13,0.08,10.27,471.47,438.41,33.06,133.46,1455.81,221.4,1234.41,159.55,0.45,465.24
6540.35,1342.79,48.57,748.7,383.33,161.81,0.37,12.55,236.37,224.35,12.01,272.33,152.21,23.56,46.09,50.47,855.92,206.62,35.03,171.58,519.44,134.82,384.61,209.36,0.72,12.4,196.24,16.91,5.82,0.16,10.93,454.44,416.85,37.59,137.63,1651.19,293.11,1358.07,158.69,0.69,465.43
7718.38,1594.64,43.56,871.91,456.11,222.81,0.25,12.1,299.85,288.21,11.64,235.45,123.85,21.91,45.3,44.39,1009.79,199.32,34.37,164.95,505.37,130.78,374.59,207.14,0.76,13.01,193.37,22.11,7.8,0.1,14.21,521.62,486.24,35.38,171.93,2299.32,580.02,1719.29,164.75,0.58,474.42
6156.99,1344.17,49.74,757.46,376.01,160.66,0.31,12.57,279.75,259.06,20.68,263.85,155.17,22.58,40.18,45.92,807.07,145.51,34.92,110.6,481.45,121.32,360.13,192.4,0.82,12.57,179.01,15.76,5.47,0.11,10.18,427.83,392.37,35.45,139.65,1455.74,260.01,1195.73,145.86,0.49,444.9
6479.85,1279.3,66.58,697.03,353.66,161.68,0.36,11.67,281.56,265.4,16.16,308.24,196.11,24.18,40.28,47.67,863.25,157.89,37.49,120.4,521.6,127.2,394.4,202.06,0.38,12.16,189.52,20.9,5.2,0.19,15.52,515.27,482.29,32.98,134.85,1555.66,238.12,1317.54,159.19,0.8,467.6
6066.33,1195.87,79.16,650.85,320.47,145.13,0.26,11.23,215.48,204.29,11.19,313.48,206.52,22.78,36.44,47.73,853.83,175.94,32.45,143.49,513.08,130.13,382.95,238.92,0.8,10.14,227.99,18.72,4.31,0.07,14.34,457.59,425.81,31.78,136.05,1322.61,197.73,1124.87,153.03,1.27,459.24
6241.73,1208.47,70.17,661.26,324.42,152.34,0.28,12.87,222.94,211.24,11.7,297.17,184.3,22.9,39.53,50.44,880.96,132.97,33.72,99.26,569.39,141.43,427.96,253.57,0.62,10.43,242.51,18.93,4.19,0.06,14.68,375.97,333.17,42.8,140.87,1504.88,267.72,1237.16,158.73,1.45,462.55
6394.13,1389.16,57.17,788.55,374.92,168.28,0.24,11.11,298.55,283.15,15.4,254.7,153.27,18.54,38.95,43.94,892.08,124.7,28.13,96.57,521.22,133.79,387.43,175.17,0.43,6.75,167.99,17.38,4.53,0.0,12.85,364.32,329.7,34.62,130.68,1628.39,363.54,1264.85,160.57,1.35,424.74
5616.35,1050.32,51.29,569.54,288.35,140.85,0.29,12.2,191.43,181.78,9.65,243.77,137.06,17.9,43.82,44.98,807.51,141.58,29.76,111.82,522.92,129.76,393.15,156.98,0.78,8.57,147.64,19.83,4.45,0.02,15.36,315.38,284.42,30.96,163.94,1430.28,291.54,1138.73,158.56,1.18,400.47
6133.36,1209.42,57.84,678.79,328.88,143.53,0.38,13.02,205.73,194.26,11.47,295.48,173.16,22.31,49.0,51.01,882.74,156.07,32.13,123.94,572.85,137.91,434.94,215.71,0.99,13.54,201.17,19.04,4.88,0.0,14.17,408.01,355.85,52.16,151.0,1358.99,178.47,1180.52,172.49,1.31,471.5
