부산_합계,부산_종합소매,부산_ 백화점,부산_ 대형마트/유통전문점,부산_ 슈퍼마켓,부산_ 편의점,부산_ 면세점,부산_전자상거래/통신판매,부산_식료품,부산_ 일반식료품,부산_ 건강보조식품,부산_의류/잡화,부산_ 의복/직물,부산_ 복식잡화,부산_ 시계/귀금속/안경,부산_ 화장품,부산_연료,부산_가구/가전,부산_ 가구,부산_ 가전제품/정보통신기기,부산_의료/보건,부산_ 종합병원,부산_ 일반병의원/기타의료기관,부산_자동차,부산_ 국산자동차신품,부산_ 기타운송수단,부산_ 자동차 부품 및 정비,부산_여행/교통,부산_ 여행사/자동차임대,부산_ 항공사,부산_ 대중교통,부산_오락/문화,부산_ 스포츠/오락/여가,부산_ 서적/문구,부산_교육,부산_숙박/음식,부산_ 숙박,부산_ 음식점,부산_공과금/개인 및 전문 서비스,부산_금융/보험,부산_기타
16923.3,4403.02,1287.29,1737.85,921.51,299.92,156.44,57.81,336.85,285.04,51.81,829.1,444.93,68.67,150.34,165.16,1250.9,546.98,82.96,464.01,2243.87,499.44,1744.44,1144.66,655.05,90.32,399.3,502.34,17.04,218.0,267.3,612.9,541.83,71.06,472.57,2723.32,154.26,2569.06,734.95,33.91,1030.14
17980.27,4810.05,1395.73,1938.71,1002.88,325.36,147.35,61.58,347.92,296.32,51.6,789.57,413.99,69.81,146.11,159.67,1302.28,732.52,93.72,638.79,2313.19,511.17,1802.02,1044.32,518.72,82.56,443.04,542.85,17.37,275.21,250.27,602.55,522.02,80.54,504.32,3015.28,193.07,2822.21,810.22,33.13,1070.49
17608.17,4675.54,1301.16,1850.9,1004.97,356.29,162.22,58.41,366.25,315.7,50.55,679.95,316.07,62.05,149.14,152.7,1296.33,580.89,88.24,492.65,2371.76,525.26,1846.49,997.73,495.16,88.98,413.59,488.04,19.61,201.6,266.83,592.02,513.28,78.75,535.57,3213.21,277.73,2935.49,682.44,34.34,1035.69
17391.61,4744.33,1426.53,1843.12,984.58,336.01,154.09,53.07,438.75,372.46,66.29,782.84,418.9,65.43,136.63,161.89,1271.11,520.53,93.94,426.59,2340.79,503.84,1836.95,1073.83,575.5,76.33,422.0,487.67,20.65,180.82,286.2,614.91,517.94,96.97,494.33,2725.6,176.9,2548.71,731.12,36.33,1076.4
17680.78,5144.86,1736.86,1952.6,947.21,345.18,163.0,56.02,410.22,361.63,48.58,824.97,489.65,67.09,127.31,140.92,1257.23,531.27,87.62,443.64,2145.44,440.71,1704.73,1011.03,574.26,62.4,374.37,470.96,18.28,191.64,261.04,688.55,621.73,66.82,434.55,2966.18,223.23,2742.96,657.43,31.85,1050.23
17641.27,4960.9,1793.5,1780.45,905.32,313.15,168.49,38.71,348.24,301.99,46.25,906.73,559.38,70.01,122.51,154.83,1323.4,520.72,84.44,436.28,2365.45,507.74,1857.71,1144.28,659.08,78.57,406.63,499.88,19.06,213.36,267.46,697.66,625.79,71.86,456.87,2690.79,175.93,2514.86,625.07,34.89,1027.68
18626.33,4986.83,1810.55,1783.88,917.51,312.41,162.48,42.06,413.04,365.47,47.56,852.72,493.15,69.39,133.06,157.12,1466.02,514.29,79.53,434.76,2505.13,534.29,1970.84,1259.25,763.26,70.09,425.91,516.2,20.12,221.92,274.15,670.4,581.71,88.7,487.31,3105.36,210.6,2894.77,687.52,34.42,1085.77
17750.91,4786.57,1511.97,1824.9,956.76,314.38,178.56,65.07,387.69,346.14,41.54,701.38,376.94,58.94,125.17,140.33,1460.26,533.8,82.9,450.9,2516.06,525.81,1990.26,825.26,370.86,63.66,390.74,605.51,19.56,348.68,237.26,574.34,497.88,76.46,504.62,2954.27,215.63,2738.63,762.97,34.19,1038.93
16227.08,4557.42,1427.52,1793.43,914.49,284.03,137.95,54.57,460.58,406.24,54.34,658.09,350.94,52.17,119.95,135.04,1393.79,493.3,82.55,410.75,2174.13,445.68,1728.45,730.17,323.51,64.5,342.17,471.52,18.43,209.92,243.17,515.14,441.45,73.69,497.57,2568.81,182.73,2386.08,644.96,35.52,971.5
17870.62,4756.74,1497.65,1823.33,953.14,322.09,160.53,68.7,363.18,318.82,44.36,804.95,439.65,65.68,150.51,149.11,1489.22,579.03,105.93,473.1,2414.87,504.67,1910.2,967.81,475.83,94.15,397.82,503.98,20.49,235.12,248.37,681.85,547.16,134.69,536.92,2826.14,162.89,2663.25,749.9,40.63,1086.7
17518.36,4814.8,1624.9,1774.16,923.23,331.8,160.71,63.82,369.11,328.11,41.0,823.52,469.1,67.32,148.34,138.77,1402.47,593.22,100.83,492.39,2287.79,480.34,1807.46,838.25,374.86,74.57,388.83,534.67,19.42,239.27,275.99,658.6,582.29,76.31,456.1,2909.12,163.93,2745.18,692.6,38.3,1035.97
18482.94,4981.11,1616.39,1850.23,969.49,361.6,183.4,65.57,408.75,359.27,49.48,867.64,485.87,71.46,153.36,156.95,1423.5,627.53,104.23,523.3,2403.94,507.16,1896.78,932.17,449.46,75.63,407.08,535.3,21.24,238.25,275.81,696.35,621.74,74.61,498.65,3203.71,210.2,2993.51,695.53,39.38,1103.81
17529.66,4619.68,1365.34,1760.12,968.74,369.82,155.65,61.17,372.92,329.3,43.62,791.15,424.6,68.84,146.3,151.41,1382.49,607.01,96.1,510.91,2351.01,500.98,1850.02,908.97,418.23,76.99,413.75,526.12,20.7,213.02,292.4,622.82,551.69,71.13,499.55,2976.8,194.26,2782.54,690.76,38.58,1080.63
18771.18,5052.37,1506.95,1961.95,1034.93,388.14,160.4,68.57,369.76,328.92,40.84,752.18,393.03,67.14,148.06,143.95,1491.56,734.48,87.75,646.73,2400.05,523.77,1876.28,1023.6,471.61,73.57,478.42,592.25,22.02,301.62,268.61,600.27,520.93,79.34,529.99,3210.53,222.1,2988.42,782.76,38.51,1124.3
18261.82,4840.62,1360.41,1856.96,1066.47,401.87,154.92,65.98,395.89,356.54,39.35,649.65,294.14,61.45,149.46,144.6,1492.47,528.15,87.45,440.7,2466.41,547.16,1919.25,965.71,451.59,75.77,438.34,553.02,20.96,242.48,289.58,578.15,497.04,81.1,568.77,3357.28,265.17,3092.1,660.79,42.14,1096.79
