경남_합계,경남_종합소매,경남_ 백화점,경남_ 대형마트/유통전문점,경남_ 슈퍼마켓,경남_ 편의점,경남_ 면세점,경남_전자상거래/통신판매,경남_식료품,경남_ 일반식료품,경남_ 건강보조식품,경남_의류/잡화,경남_ 의복/직물,경남_ 복식잡화,경남_ 시계/귀금속/안경,경남_ 화장품,경남_연료,경남_가구/가전,경남_ 가구,경남_ 가전제품/정보통신기기,경남_의료/보건,경남_ 종합병원,경남_ 일반병의원/기타의료기관,경남_자동차,경남_ 국산자동차신품,경남_ 기타운송수단,경남_ 자동차 부품 및 정비,경남_여행/교통,경남_ 여행사/자동차임대,경남_ 항공사,경남_ 대중교통,경남_오락/문화,경남_ 스포츠/오락/여가,경남_ 서적/문구,경남_교육,경남_숙박/음식,경남_ 숙박,경남_ 음식점,경남_공과금/개인 및 전문 서비스,경남_금융/보험,경남_기타
12384.56,2815.71,489.12,1332.38,727.45,264.63,2.13,24.77,314.22,285.95,28.26,591.11,326.66,49.19,95.41,119.84,1757.07,488.42,74.94,413.48,1357.85,335.92,1021.93,478.6,2.6,31.59,444.41,29.27,5.16,0.0,24.11,635.79,565.15,70.65,385.83,2357.02,99.3,2257.71,332.35,2.9,813.67
12641.61,2989.82,462.04,1457.71,773.62,294.37,2.08,34.2,336.23,308.79,27.43,488.32,242.25,42.49,95.41,108.17,1792.88,463.09,75.41,387.67,1333.76,334.72,999.04,450.02,2.5,28.79,418.74,37.43,5.35,0.0,32.08,655.0,593.16,61.83,380.57,2572.6,155.63,2416.98,311.4,2.71,793.59
11721.86,3014.65,579.58,1430.52,730.95,271.03,2.57,23.15,398.93,351.83,47.1,554.92,311.88,46.22,81.06,115.76,1633.26,313.79,73.74,240.05,1243.86,300.48,943.38,418.13,2.47,28.19,387.47,28.61,5.21,0.0,23.4,559.53,495.99,63.54,356.96,2076.38,86.32,1990.06,305.98,2.81,790.9
12341.26,2992.24,680.31,1334.05,697.21,278.4,2.27,21.08,350.42,320.75,29.68,644.77,393.84,48.62,85.06,117.26,1704.23,329.23,81.59,247.63,1339.81,312.47,1027.35,449.2,2.67,32.48,414.05,29.2,5.77,0.0,23.43,665.74,604.67,61.07,360.9,2273.12,94.9,2178.21,337.98,3.25,840.07
12210.16,2845.53,683.53,1255.84,640.37,263.26,2.52,20.2,322.0,295.83,26.17,704.25,457.98,47.53,78.83,119.91,1781.32,330.09,68.71,261.38,1359.95,325.91,1034.03,456.72,2.31,31.04,423.38,29.21,4.7,0.0,24.51,666.95,607.74,59.21,374.29,2159.67,89.16,2070.51,330.83,3.08,826.07
12736.01,2867.21,633.86,1294.24,675.17,260.98,2.95,22.02,360.38,333.47,26.91,657.63,401.63,48.65,85.67,121.68,1900.15,320.3,70.75,249.55,1494.94,351.21,1143.73,465.37,2.27,27.57,435.52,24.81,4.51,0.0,20.29,620.47,548.65,71.82,390.89,2382.22,99.08,2283.14,339.68,3.18,886.77
12470.45,3056.16,573.65,1478.91,747.51,253.46,2.63,22.41,453.9,415.19,38.71,583.35,345.66,40.03,83.87,113.79,1915.54,297.28,67.86,229.42,1385.45,325.68,1059.77,403.03,2.15,21.55,379.33,21.27,4.63,0.0,16.64,542.33,480.41,61.92,363.24,2276.44,97.51,2178.93,333.04,3.29,813.73
11102.28,2394.29,493.37,1078.24,587.62,231.75,3.3,23.84,279.67,255.88,23.79,513.64,279.43,37.03,86.99,110.19,1764.42,345.93,81.08,264.85,1348.58,297.09,1051.5,384.46,1.99,24.17,358.3,23.4,4.62,0.03,18.74,502.62,436.97,65.65,385.98,2065.73,82.37,1983.35,316.0,4.21,749.52
12669.84,2794.83,546.35,1288.11,683.91,274.09,2.37,23.98,337.47,309.78,27.68,642.51,367.62,47.0,101.28,126.61,1983.85,364.07,82.57,281.5,1475.32,330.4,1144.93,440.13,2.52,35.07,402.54,25.49,6.13,0.0,19.37,670.43,551.45,118.99,399.04,2299.13,86.07,2213.06,352.52,4.37,856.7
12479.77,2753.38,538.82,1245.68,695.1,271.6,2.18,19.45,343.74,315.3,28.43,660.89,391.44,47.22,101.1,121.14,1837.09,370.87,81.84,289.02,1464.96,333.43,1131.53,446.56,2.28,34.75,409.52,26.1,4.97,0.0,21.12,641.17,572.4,68.77,358.06,2352.62,96.85,2255.76,371.38,3.61,829.91
13513.28,3180.39,636.14,1463.44,763.96,314.23,2.62,22.18,381.28,349.45,31.83,705.29,423.23,50.89,111.29,119.87,1896.37,450.08,86.44,363.65,1449.45,325.11,1124.34,450.45,2.41,35.6,412.44,25.25,4.9,0.0,20.35,726.27,663.06,63.22,365.44,2627.09,112.81,2514.29,374.34,3.41,855.99
12522.61,2862.29,488.31,1313.67,747.19,310.03,3.09,20.94,343.38,316.41,26.97,599.6,327.65,49.02,102.04,120.89,1770.26,392.43,80.13,312.3,1477.52,339.65,1137.87,461.31,2.34,40.08,418.88,27.1,4.88,0.08,22.15,646.35,586.94,59.42,380.5,2353.05,91.56,2261.48,348.42,3.99,835.46
13441.0,3099.06,501.65,1456.93,802.62,335.7,2.16,23.59,349.88,323.36,26.52,595.31,325.29,49.05,100.79,120.18,1853.29,590.32,85.68,504.64,1510.89,343.19,1167.71,483.03,2.98,35.16,444.88,25.37,5.91,0.0,19.46,648.5,578.61,69.89,399.94,2631.31,110.12,2521.18,370.17,3.83,856.51
13397.13,3033.78,430.66,1426.53,827.14,347.31,2.14,30.08,380.51,353.9,26.62,494.32,235.52,41.94,102.17,114.69,1908.77,410.52,78.47,332.04,1593.09,366.75,1226.34,463.51,1.59,33.49,428.43,30.11,6.5,0.0,23.61,671.22,601.72,69.49,412.83,2763.89,146.1,2617.8,350.28,3.83,850.4
12989.35,3029.25,531.06,1389.4,769.51,337.14,2.15,20.75,441.87,398.18,43.7,597.11,332.29,47.43,92.49,124.91,1885.81,334.1,80.03,254.07,1528.91,342.46,1186.45,461.09,2.16,35.72,423.21,30.76,6.46,0.0,24.3,616.74,543.22,73.52,396.78,2381.12,90.61,2290.51,370.18,3.9,890.98
13161.78,3256.56,651.25,1480.37,778.17,344.22,2.55,22.29,433.1,402.69,30.4,634.16,390.39,46.74,87.88,109.14,1909.72,354.35,76.21,278.14,1347.55,297.76,1049.8,402.67,1.86,27.28,373.53,26.42,5.47,0.0,20.95,699.21,643.44,55.77,356.89,2531.53,113.08,2418.45,353.33,2.77,831.24
13025.52,2930.64,666.04,1263.33,682.93,315.97,2.37,19.79,362.09,335.14,26.94,707.9,462.44,46.25,82.41,116.79,1994.15,365.57,69.8,295.78,1502.93,339.6,1163.34,463.6,1.98,32.36,429.27,27.27,6.25,0.0,21.02,693.8,634.11,59.69,386.03,2340.93,94.29,2246.64,374.54,3.67,852.62
13574.72,2993.51,635.66,1325.95,723.04,306.66,2.19,23.01,407.58,381.04,26.54,655.02,404.08,47.13,87.12,116.69,2115.67,358.13,73.46,284.68,1619.83,372.95,1246.88,465.44,1.98,28.81,434.66,26.99,5.85,0.0,21.15,629.68,555.31,74.36,412.8,2579.08,100.1,2478.98,383.51,3.47,901.0
12910.28,2889.42,499.12,1331.51,742.67,314.14,1.97,28.68,389.19,364.26,24.93,547.11,313.5,37.44,89.08,107.08,2004.57,364.75,72.68,292.07,1642.3,368.41,1273.89,399.18,2.03,24.0,373.16,22.02,4.78,0.48,16.76,518.82,455.17,63.65,422.33,2482.41,103.12,2379.29,369.67,3.92,825.91
11942.56,2871.67,506.6,1354.73,722.22,285.94,2.16,27.91,464.9,424.71,40.19,497.28,274.18,34.39,83.11,105.6,1877.25,327.85,67.46,260.39,1384.54,304.26,1080.27,364.06,1.86,22.77,339.43,21.83,4.39,0.4,17.04,475.1,414.39,60.71,388.63,2128.55,78.24,2050.3,335.36,4.76,772.89
13143.43,2838.08,521.36,1271.44,717.77,325.22,2.29,31.72,369.0,342.44,26.57,610.49,346.86,45.78,103.26,114.59,2027.64,403.59,85.49,318.11,1583.57,348.63,1234.93,441.62,2.0,34.58,405.04,25.0,6.45,0.44,18.11,634.69,518.5,116.19,430.3,2455.71,89.79,2365.93,395.86,5.65,890.52
13195.35,2950.68,564.35,1311.53,739.03,333.7,2.08,32.21,382.32,356.97,25.35,626.59,370.71,47.04,102.97,105.88,1960.04,395.36,77.94,317.42,1515.03,335.93,1179.11,429.67,1.47,32.22,395.98,26.81,6.27,0.52,20.02,640.15,575.22,64.93,372.04,2584.89,98.64,2486.25,394.22,4.6,880.74
14077.16,3127.63,564.14,1403.42,795.36,362.16,2.55,33.89,418.83,384.61,34.21,656.75,384.1,49.09,107.69,115.87,2093.59,420.21,76.61,343.6,1585.93,355.77,1230.16,469.79,1.55,40.27,427.96,26.74,6.38,0.44,19.91,701.71,639.79,61.92,405.39,2789.89,110.02,2679.87,406.52,4.59,935.71
13279.7,2943.04,467.8,1313.58,791.56,367.7,2.41,32.18,374.83,348.46,26.37,574.71,317.15,46.84,99.78,110.94,2052.52,391.86,73.86,318.01,1536.38,346.81,1189.58,460.98,1.79,34.37,424.83,28.23,5.66,0.47,22.1,642.82,582.47,60.36,409.08,2553.36,95.07,2458.29,380.2,4.11,895.38
