인천_합계,인천_종합소매,인천_ 백화점,인천_ 대형마트/유통전문점,인천_ 슈퍼마켓,인천_ 편의점,인천_ 면세점,인천_전자상거래/통신판매,인천_식료품,인천_ 일반식료품,인천_ 건강보조식품,인천_의류/잡화,인천_ 의복/직물,인천_ 복식잡화,인천_ 시계/귀금속/안경,인천_ 화장품,인천_연료,인천_가구/가전,인천_ 가구,인천_ 가전제품/정보통신기기,인천_의료/보건,인천_ 종합병원,인천_ 일반병의원/기타의료기관,인천_자동차,인천_ 국산자동차신품,인천_ 기타운송수단,인천_ 자동차 부품 및 정비,인천_여행/교통,인천_ 여행사/자동차임대,인천_ 항공사,인천_ 대중교통,인천_오락/문화,인천_ 스포츠/오락/여가,인천_ 서적/문구,인천_교육,인천_숙박/음식,인천_ 숙박,인천_ 음식점,인천_공과금/개인 및 전문 서비스,인천_금융/보험,인천_기타
13344.78,3568.44,473.29,1428.6,772.04,303.49,591.01,48.7,400.62,366.49,34.13,644.4,329.89,84.53,114.22,115.75,1270.96,408.58,74.19,334.39,1280.65,343.9,936.75,1055.15,641.26,46.82,367.07,159.16,4.15,27.67,127.33,576.29,509.79,66.5,437.14,2452.9,122.31,2330.59,449.29,4.14,588.35
12471.2,3234.98,378.71,1249.97,756.17,307.04,543.09,49.27,347.3,319.57,27.73,575.89,276.71,80.02,109.32,109.84,1221.68,358.38,70.14,288.24,1303.66,350.43,953.23,968.97,545.74,49.09,374.13,172.54,4.94,33.16,134.44,513.1,451.09,62.01,448.29,2267.51,117.09,2150.42,437.11,4.7,567.82
13129.02,3453.41,400.11,1399.44,781.87,328.56,543.43,54.15,326.49,299.63,26.86,556.09,272.08,72.74,105.14,106.13,1274.4,497.83,83.29,414.54,1326.58,357.06,969.53,952.17,517.54,42.08,392.54,169.92,5.61,44.52,119.79,509.85,440.54,69.31,474.63,2476.8,123.83,2352.97,443.94,4.26,608.5
12906.48,3398.04,360.99,1331.87,781.24,343.83,580.12,48.67,349.34,321.53,27.82,473.16,205.9,62.44,102.72,102.11,1276.63,387.36,85.85,301.51,1358.48,368.14,990.34,925.39,489.42,44.93,391.04,167.61,4.97,30.63,132.01,490.62,425.11,65.5,469.57,2530.84,154.07,2376.77,428.93,3.83,598.02
12928.59,3408.99,425.37,1309.33,773.84,345.91,554.54,47.9,477.46,428.94,48.52,559.41,265.86,79.3,102.21,112.05,1300.53,331.77,91.1,240.67,1364.52,354.07,1010.45,908.4,472.99,53.24,382.16,173.34,5.61,28.05,139.67,495.97,427.21,68.76,465.05,2334.12,120.4,2213.72,436.1,4.49,620.54
12886.9,3627.25,487.91,1402.22,768.81,342.04,626.27,47.45,472.92,432.77,40.15,583.82,311.16,78.07,95.35,99.24,1248.91,361.88,87.09,274.8,1255.7,329.14,926.57,756.34,368.72,45.71,341.91,163.0,4.6,28.8,129.59,539.48,483.27,56.21,419.79,2425.44,136.48,2288.96,406.89,4.3,573.72
12979.92,3434.91,530.7,1292.82,721.23,313.13,577.03,45.57,390.89,357.53,33.37,655.35,369.69,95.3,85.83,104.53,1344.14,390.45,80.24,310.21,1363.79,363.18,1000.61,960.51,511.55,60.11,388.86,166.81,5.41,38.6,122.8,553.34,494.26,59.08,445.11,2198.69,116.34,2082.35,424.56,5.24,600.55
13565.55,3415.37,509.99,1311.84,732.48,312.48,548.59,51.23,401.99,371.48,30.51,616.15,320.94,89.53,94.83,110.85,1408.03,359.29,85.84,273.45,1443.87,375.09,1068.78,1103.57,667.42,42.0,394.15,181.43,7.49,51.86,122.08,523.44,445.07,78.37,466.49,2523.49,135.65,2387.84,446.92,4.17,620.1
13334.28,3443.53,416.4,1311.58,782.61,318.49,614.44,74.33,379.83,350.67,29.15,505.94,245.1,63.65,92.69,104.49,1378.29,379.45,92.27,287.18,1470.21,374.54,1095.67,1143.32,760.22,31.52,351.59,203.95,5.53,89.93,108.49,451.01,384.46,66.55,478.25,2396.06,125.32,2270.75,449.58,4.29,576.25
12034.5,3206.05,393.83,1272.86,744.41,288.05,506.89,57.54,481.11,436.08,45.03,464.04,218.56,61.52,87.17,96.78,1281.88,348.61,88.46,260.16,1255.7,313.16,942.54,831.19,463.55,49.71,317.93,180.72,6.15,62.82,111.76,412.5,351.3,61.19,441.5,2069.31,105.59,1963.72,448.04,3.49,552.82
13415.49,3368.28,426.24,1294.07,730.87,334.83,582.27,69.1,356.01,326.93,29.08,597.57,286.84,89.57,111.1,110.06,1413.52,424.6,105.15,319.45,1471.52,361.33,1110.19,858.83,421.92,60.43,376.49,184.89,6.07,69.89,108.92,575.28,470.92,104.36,517.0,2412.55,113.84,2298.71,529.38,5.63,631.35
12968.08,3399.24,448.52,1292.7,742.32,339.66,576.05,57.24,371.58,341.91,29.67,591.7,288.76,89.88,107.82,105.24,1343.46,409.18,92.52,316.66,1369.12,336.06,1033.05,700.26,278.07,54.99,367.2,183.89,5.15,50.77,127.97,547.34,478.31,69.03,445.42,2456.96,116.71,2340.24,487.14,6.2,599.37
14109.23,3638.11,453.31,1380.56,793.26,374.68,636.3,61.53,410.86,374.13,36.73,629.88,317.5,88.21,111.17,112.99,1383.74,434.89,91.3,343.59,1443.13,361.86,1081.28,973.65,520.64,60.67,392.33,210.43,6.66,78.69,125.09,588.06,517.8,70.25,484.39,2700.71,137.97,2562.74,501.45,6.73,641.68
13591.2,3438.69,386.44,1273.56,806.0,386.61,586.07,55.8,376.73,346.27,30.45,581.46,286.28,77.6,108.83,108.76,1369.9,401.66,81.08,320.58,1399.14,347.13,1052.01,1118.87,669.98,55.36,393.53,217.33,8.54,72.8,135.99,534.4,470.85,63.55,482.15,2528.78,127.94,2400.84,474.85,5.57,605.87
14262.85,3665.46,423.46,1421.65,835.3,407.65,577.4,69.9,355.92,327.81,28.11,560.47,266.02,72.72,113.65,108.09,1464.07,529.07,82.75,446.32,1439.08,354.2,1084.88,1080.36,606.54,48.72,425.11,219.39,8.21,85.49,125.7,532.5,462.12,70.38,500.53,2731.54,140.35,2591.18,480.03,5.97,628.55
13714.33,3534.67,368.43,1332.92,851.72,412.0,569.59,66.94,366.74,339.44,27.3,466.99,196.22,62.85,106.46,101.46,1474.35,409.29,80.22,329.06,1457.31,370.05,1087.26,875.17,411.87,41.93,421.37,221.51,6.49,76.35,138.66,506.8,437.59,69.21,497.0,2774.23,164.41,2609.83,449.58,4.99,608.76
13626.35,3725.99,457.18,1425.39,884.47,397.96,560.99,58.64,624.73,566.97,57.76,535.0,257.04,76.5,100.85,100.61,1417.01,327.3,83.92,243.38,1357.44,323.48,1033.97,807.63,393.23,39.82,374.58,189.73,6.35,55.75,127.63,539.99,471.01,68.98,461.97,2530.44,128.22,2402.22,435.34,4.5,610.62
