대구_합계,대구_종합소매,대구_ 백화점,대구_ 대형마트/유통전문점,대구_ 슈퍼마켓,대구_ 편의점,대구_ 면세점,대구_전자상거래/통신판매,대구_식료품,대구_ 일반식료품,대구_ 건강보조식품,대구_의류/잡화,대구_ 의복/직물,대구_ 복식잡화,대구_ 시계/귀금속/안경,대구_ 화장품,대구_연료,대구_가구/가전,대구_ 가구,대구_ 가전제품/정보통신기기,대구_의료/보건,대구_ 종합병원,대구_ 일반병의원/기타의료기관,대구_자동차,대구_ 국산자동차신품,대구_ 기타운송수단,대구_ 자동차 부품 및 정비,대구_여행/교통,대구_ 여행사/자동차임대,대구_ 항공사,대구_ 대중교통,대구_오락/문화,대구_ 스포츠/오락/여가,대구_ 서적/문구,대구_교육,대구_숙박/음식,대구_ 숙박,대구_ 음식점,대구_공과금/개인 및 전문 서비스,대구_금융/보험,대구_기타
10201.56,2632.94,815.61,988.25,661.39,161.11,6.57,58.09,247.56,224.59,22.97,562.78,283.32,39.19,131.48,108.79,1027.63,366.14,66.79,299.35,1499.41,277.16,1222.26,329.02,1.17,57.62,270.23,106.2,6.75,0.06,99.4,377.13,311.64,65.49,376.21,1664.43,46.53,1617.9,298.31,14.12,641.57
10858.08,2822.76,849.15,1116.41,681.2,169.29,6.71,48.31,249.82,227.26,22.56,543.64,272.22,40.85,127.35,103.22,1094.81,489.97,77.6,412.37,1555.89,290.99,1264.9,357.49,2.41,68.23,286.85,104.57,7.42,0.2,96.95,394.73,320.75,73.98,396.73,1829.28,45.45,1783.83,301.03,9.34,659.7
10619.18,2741.02,805.04,1057.22,693.12,178.49,7.15,42.94,254.28,232.94,21.34,473.3,210.92,36.6,123.91,101.87,1090.84,405.52,89.57,315.95,1615.03,306.59,1308.44,345.94,1.02,60.08,284.84,102.74,7.52,0.13,95.09,385.76,310.06,75.71,416.6,1815.43,47.13,1768.3,294.06,11.15,624.58
10709.7,2827.17,903.16,1055.82,676.49,184.48,7.22,34.0,316.08,281.35,34.72,572.08,305.44,39.6,116.08,110.96,1082.86,364.91,89.08,275.84,1578.48,292.09,1286.38,332.78,1.39,53.2,278.19,117.19,8.98,0.08,108.14,380.65,302.21,78.44,396.04,1712.94,50.7,1662.24,305.47,10.92,678.13
10842.56,3075.81,1058.84,1149.51,677.17,182.99,7.3,38.42,306.02,280.57,25.45,601.26,359.12,39.71,105.27,97.16,1073.35,391.48,92.74,298.74,1443.18,252.92,1190.26,295.85,0.93,45.52,249.4,104.02,7.36,-0.03,96.69,415.01,353.32,61.68,357.85,1787.01,54.68,1732.33,304.93,8.5,639.88
10977.14,2982.18,1101.03,1084.17,614.16,175.24,7.57,34.79,268.89,247.01,21.87,673.77,422.81,39.02,100.97,110.98,1125.63,378.11,80.43,297.68,1595.44,291.36,1304.08,330.46,0.83,49.25,280.38,110.08,7.38,0.09,102.62,425.99,357.85,68.15,369.84,1689.31,59.45,1629.87,318.33,11.42,662.88
11458.58,3037.05,1122.47,1084.59,647.02,175.68,7.3,52.15,300.37,278.36,22.0,616.56,354.24,40.26,110.94,111.12,1206.98,343.3,72.48,270.82,1690.66,297.6,1393.06,339.45,0.89,51.74,286.83,118.98,8.39,0.05,110.54,434.66,351.27,83.39,394.03,1930.54,66.26,1864.27,321.35,8.67,663.86
10960.24,2839.91,921.14,1061.83,673.64,175.22,8.07,89.54,290.5,269.36,21.13,490.49,253.73,31.59,109.06,96.1,1136.18,349.89,74.07,275.81,1725.1,304.6,1420.5,298.79,1.41,50.23,247.16,104.5,9.35,0.05,95.1,381.01,312.53,68.48,400.5,1800.59,53.62,1746.97,405.64,7.7,639.9
10217.06,2756.23,875.0,1066.34,647.3,160.91,6.67,115.93,355.54,323.38,32.16,480.68,249.51,29.04,107.34,94.78,1078.68,314.27,68.96,245.31,1468.27,253.34,1214.93,270.45,0.51,43.96,225.98,101.69,6.09,0.04,95.56,339.9,271.7,68.2,378.44,1567.24,44.88,1522.37,355.43,10.08,624.23
11122.43,2785.31,923.31,1014.99,652.0,187.22,7.8,137.77,270.36,247.22,23.14,582.2,308.27,37.69,132.52,103.72,1154.26,403.54,86.93,316.61,1640.47,284.12,1356.34,332.54,0.43,59.45,272.66,109.32,7.78,0.08,101.46,458.61,337.71,120.9,426.05,1778.17,50.08,1728.09,342.84,16.44,684.58
