전남_합계,전남_종합소매,전남_ 백화점,전남_ 대형마트/유통전문점,전남_ 슈퍼마켓,전남_ 편의점,전남_ 면세점,전남_전자상거래/통신판매,전남_식료품,전남_ 일반식료품,전남_ 건강보조식품,전남_의류/잡화,전남_ 의복/직물,전남_ 복식잡화,전남_ 시계/귀금속/안경,전남_ 화장품,전남_연료,전남_가구/가전,전남_ 가구,전남_ 가전제품/정보통신기기,전남_의료/보건,전남_ 종합병원,전남_ 일반병의원/기타의료기관,전남_자동차,전남_ 국산자동차신품,전남_ 기타운송수단,전남_ 자동차 부품 및 정비,전남_여행/교통,전남_ 여행사/자동차임대,전남_ 항공사,전남_ 대중교통,전남_오락/문화,전남_ 스포츠/오락/여가,전남_ 서적/문구,전남_교육,전남_숙박/음식,전남_ 숙박,전남_ 음식점,전남_공과금/개인 및 전문 서비스,전남_금융/보험,전남_기타
5255.46,952.86,66.39,560.56,253.6,71.72,0.59,8.62,220.02,211.14,8.88,326.62,229.91,19.96,32.99,43.76,907.55,156.81,24.11,132.7,465.5,113.65,351.85,195.34,0.23,7.83,187.27,11.19,3.76,0.0,7.44,379.8,354.1,25.7,117.92,1023.88,61.0,962.88,155.43,0.16,333.77
5481.8,986.87,66.69,583.18,265.0,71.7,0.3,9.94,238.7,229.15,9.55,314.7,210.64,20.07,34.98,49.02,957.25,171.96,21.69,150.27,513.77,127.52,386.25,211.86,0.15,7.52,204.2,8.76,2.87,0.0,5.89,342.61,307.89,34.72,127.48,1063.87,58.52,1005.35,175.39,0.14,358.48
5075.27,937.29,48.51,555.91,269.12,62.78,0.97,8.87,260.29,249.6,10.69,246.72,150.87,14.28,35.56,46.0,882.32,129.54,20.06,109.48,534.3,124.52,409.78,195.56,0.25,7.13,188.18,10.77,3.64,0.0,7.13,253.99,222.81,31.19,130.32,991.42,59.14,932.28,173.68,0.13,320.07
4946.6,1031.16,48.89,637.31,280.84,63.74,0.37,8.75,317.64,301.83,15.81,227.35,137.19,13.67,34.71,41.79,833.2,142.76,23.47,119.28,480.19,115.16,365.03,162.37,0.18,6.97,155.22,9.81,2.93,0.0,6.88,243.22,216.52,26.71,130.17,877.38,46.75,830.64,180.88,0.14,301.56
5300.72,952.07,55.78,561.25,263.42,71.25,0.37,10.25,223.51,212.82,10.69,285.21,178.63,18.12,39.96,48.5,895.93,159.67,25.86,133.81,533.93,130.96,402.97,200.99,0.21,11.5,189.28,10.77,3.72,0.25,6.8,344.32,284.55,59.77,130.72,1008.16,54.63,953.53,200.21,0.29,344.68
5238.96,965.36,51.96,565.79,275.07,72.1,0.44,9.08,241.56,231.89,9.67,294.17,187.0,19.13,40.44,47.59,852.89,140.68,25.75,114.93,497.24,120.17,377.07,199.6,0.14,11.12,188.34,12.75,3.76,0.01,8.98,343.98,313.94,30.04,116.86,1034.06,59.02,975.03,181.18,0.18,349.37
5849.81,1142.36,64.43,679.07,316.53,81.93,0.41,11.12,283.05,269.05,14.0,326.21,211.25,21.92,43.69,49.35,925.64,164.72,30.94,133.78,488.58,119.33,369.25,207.99,0.38,13.48,194.13,17.19,5.08,0.4,11.7,397.97,368.96,29.01,117.96,1205.02,67.5,1137.52,204.39,0.12,357.51
5470.51,1065.8,47.04,624.66,311.99,81.8,0.32,9.34,245.73,235.09,10.64,285.5,179.11,20.83,38.98,46.59,910.2,171.51,28.4,143.11,489.9,119.58,370.31,211.61,0.29,11.8,199.53,13.57,4.29,0.27,9.01,329.06,302.99,26.07,121.74,1087.45,61.22,1026.23,181.81,0.07,347.23
5714.44,1111.43,38.56,659.47,327.42,85.46,0.51,10.75,238.68,229.0,9.68,261.94,154.27,19.84,40.82,47.01,920.03,257.68,31.26,226.42,521.86,124.76,397.1,226.19,0.23,10.61,215.35,12.27,3.67,0.3,8.3,328.45,296.21,32.24,127.83,1151.88,64.21,1087.67,187.93,0.07,357.47
6126.08,1216.64,34.87,720.75,359.91,100.38,0.73,11.92,289.13,279.14,9.99,211.83,112.55,16.74,40.33,42.21,992.66,222.21,29.98,192.22,522.64,127.38,395.26,220.09,0.53,12.52,207.05,21.75,5.76,0.41,15.57,337.88,307.95,29.94,142.39,1360.79,104.07,1256.72,228.9,0.09,347.16
5610.78,1189.08,47.44,692.13,355.9,93.08,0.53,11.15,355.48,333.49,21.99,247.05,147.81,18.34,35.14,45.76,917.17,153.98,29.19,124.79,484.13,118.62,365.51,202.02,0.63,10.81,190.59,12.58,4.1,0.33,8.14,309.87,278.35,31.52,123.45,1031.98,57.07,974.91,219.63,0.14,353.07
5633.35,1083.12,57.48,603.45,328.07,93.5,0.63,9.26,279.71,267.74,11.97,288.26,185.91,19.14,36.5,46.7,930.21,148.83,30.34,118.49,505.92,120.23,385.69,210.01,0.22,12.02,197.76,13.64,4.63,0.2,8.81,380.51,352.95,27.56,123.34,1107.35,63.12,1044.23,196.04,0.22,356.94
5522.27,991.86,60.66,556.77,287.91,85.98,0.53,8.18,235.14,226.0,9.14,320.33,223.46,17.86,32.96,46.04,987.53,144.03,24.07,119.96,511.65,121.85,389.81,218.08,0.33,10.09,207.66,11.56,3.71,0.19,7.66,375.84,349.25,26.59,131.98,1043.02,59.89,983.13,198.39,0.29,344.4
5708.4,1061.39,88.6,586.6,301.39,84.41,0.38,8.97,255.42,246.3,9.12,288.06,187.38,17.81,35.6,47.27,1042.01,150.52,22.98,127.54,573.76,132.73,441.03,229.86,0.33,9.33,220.19,9.71,3.57,0.28,5.87,313.83,278.58,35.25,133.14,1072.18,56.67,1015.52,196.49,0.54,372.52
5808.68,1266.13,91.84,738.73,352.68,82.16,0.73,11.86,370.59,353.43,17.17,269.73,176.92,13.83,36.11,42.86,1038.11,133.65,23.05,110.6,538.78,123.05,415.73,194.13,0.13,7.82,186.18,10.94,3.32,0.51,7.11,246.49,215.78,30.71,123.28,1035.32,58.0,977.32,217.64,0.3,351.73
5012.05,933.37,68.15,519.45,271.09,73.94,0.75,11.28,198.79,190.08,8.71,237.4,143.47,12.1,38.15,43.67,951.48,141.69,23.81,117.89,520.05,112.16,407.89,179.88,0.17,9.34,170.37,10.18,3.37,0.65,6.16,225.83,198.14,27.69,131.77,935.33,50.28,885.04,217.73,0.26,317.0
5964.47,1129.84,79.26,637.54,323.25,89.51,0.29,14.09,251.82,241.37,10.45,307.62,194.92,17.31,44.69,50.71,1099.57,161.81,27.82,133.99,566.47,125.18,441.29,213.49,0.21,12.56,200.72,13.06,4.28,0.4,8.39,343.78,285.35,58.43,135.15,1103.96,58.24,1045.72,241.58,0.38,381.86
5945.25,1123.81,73.16,623.91,335.19,91.13,0.43,13.23,276.32,264.36,11.96,319.69,207.54,18.17,44.48,49.5,1036.97,155.38,26.02,129.37,563.24,128.42,434.82,214.79,0.16,13.72,200.91,16.42,4.68,0.26,11.48,359.42,328.09,31.34,124.3,1147.92,63.19,1084.73,220.28,0.27,373.22
