울산_합계,울산_종합소매,울산_ 백화점,울산_ 대형마트/유통전문점,울산_ 슈퍼마켓,울산_ 편의점,울산_ 면세점,울산_전자상거래/통신판매,울산_식료품,울산_ 일반식료품,울산_ 건강보조식품,울산_의류/잡화,울산_ 의복/직물,울산_ 복식잡화,울산_ 시계/귀금속/안경,울산_ 화장품,울산_연료,울산_가구/가전,울산_ 가구,울산_ 가전제품/정보통신기기,울산_의료/보건,울산_ 종합병원,울산_ 일반병의원/기타의료기관,울산_자동차,울산_ 국산자동차신품,울산_ 기타운송수단,울산_ 자동차 부품 및 정비,울산_여행/교통,울산_ 여행사/자동차임대,울산_ 항공사,울산_ 대중교통,울산_오락/문화,울산_ 스포츠/오락/여가,울산_ 서적/문구,울산_교육,울산_숙박/음식,울산_ 숙박,울산_ 음식점,울산_공과금/개인 및 전문 서비스,울산_금융/보험,울산_기타
4438.14,1129.94,274.65,558.68,231.4,64.75,0.46,12.64,131.67,124.82,6.86,221.82,136.59,12.35,32.61,40.27,553.82,133.63,23.38,110.26,496.66,129.39,367.27,155.09,1.06,11.03,143.0,5.5,3.74,0.0,1.76,193.41,169.65,23.76,169.96,832.31,34.08,798.23,116.15,0.52,285.01
4677.98,1147.25,258.88,578.61,243.55,65.63,0.57,13.02,159.27,150.49,8.77,213.43,122.12,13.52,34.66,43.13,572.27,131.61,25.57,106.04,550.83,141.32,409.51,167.09,0.63,11.48,154.98,5.96,3.68,0.0,2.28,187.74,157.08,30.67,188.74,908.6,35.89,872.72,136.05,0.6,295.52
4460.14,1079.34,220.63,545.83,251.52,60.6,0.77,14.5,163.47,153.72,9.76,180.22,92.93,11.07,35.5,40.72,539.41,120.24,30.81,89.43,571.55,139.49,432.06,159.28,0.85,9.8,148.63,4.05,2.22,0.0,1.83,159.0,131.8,27.19,196.79,857.86,32.59,825.28,153.46,0.73,260.22
4067.25,1082.27,216.1,569.21,237.61,58.82,0.53,13.22,163.19,150.0,13.19,164.21,85.16,9.96,33.08,36.01,469.73,126.48,36.12,90.36,498.57,122.15,376.42,133.39,0.51,8.98,123.9,4.72,2.59,0.0,2.14,146.84,122.26,24.58,168.43,738.52,26.51,712.01,117.92,0.52,239.23
4387.98,1062.87,209.49,543.38,240.94,68.46,0.6,13.58,129.97,120.77,9.2,195.27,103.75,12.48,36.84,42.2,515.19,145.07,37.28,107.79,564.41,141.36,423.05,155.7,0.54,12.35,142.81,5.09,3.1,0.0,1.99,206.62,156.39,50.23,193.72,812.71,28.29,784.42,128.85,0.71,258.24
4315.21,1057.32,219.22,521.67,246.31,69.2,0.91,13.25,131.06,122.29,8.77,202.1,112.0,12.92,37.14,40.04,508.72,128.14,31.35,96.79,534.85,138.13,396.72,157.89,0.79,12.29,144.81,5.37,2.84,0.02,2.5,198.02,170.73,27.28,179.44,819.22,27.94,791.28,125.71,0.63,253.49
4492.23,1106.53,239.47,527.68,261.4,77.01,0.96,14.97,150.53,139.04,11.49,215.7,120.49,14.71,40.13,40.37,541.83,139.01,37.25,101.76,508.02,131.48,376.54,158.93,0.75,13.24,144.93,5.78,2.87,0.0,2.91,172.23,147.78,24.45,178.85,910.04,33.8,876.24,132.12,0.58,257.1
4314.74,1019.31,192.69,490.19,256.86,78.21,1.36,12.77,133.23,124.05,9.18,197.94,107.24,13.65,36.92,40.13,554.3,139.02,31.58,107.45,510.51,130.47,380.04,162.4,1.01,12.4,148.99,6.12,2.68,0.0,3.44,159.17,135.22,23.95,181.09,850.82,30.04,820.78,136.02,0.58,251.46
4548.4,1037.84,194.24,492.17,268.11,82.32,1.0,14.13,134.54,125.7,8.84,189.85,95.74,13.5,38.91,41.7,593.21,165.94,32.15,133.8,542.4,136.67,405.74,181.65,0.43,12.82,168.4,6.77,2.95,0.0,3.83,168.0,139.52,28.48,197.25,897.56,30.29,867.26,161.26,0.71,257.28
4513.1,1100.06,192.47,539.59,278.4,88.46,1.14,16.05,139.08,130.28,8.8,156.62,70.76,12.46,37.53,35.88,575.99,162.25,32.15,130.1,531.87,136.16,395.71,167.17,1.28,11.08,154.81,5.94,2.56,0.0,3.37,163.86,138.81,25.05,179.7,927.66,37.48,890.19,131.69,0.62,254.54
4226.67,1071.53,211.29,511.56,264.4,83.56,0.73,12.88,156.39,139.41,16.98,167.47,87.44,12.0,31.69,36.33,527.52,116.85,30.29,86.56,489.4,124.73,364.67,154.24,0.89,10.57,142.78,7.5,3.18,0.0,4.31,159.19,133.24,25.95,175.8,788.76,28.03,760.73,143.13,0.83,255.19
4478.75,1094.86,249.29,489.89,266.8,87.99,0.88,13.04,144.92,133.74,11.18,196.35,112.16,12.71,33.84,37.64,558.86,121.46,31.46,90.0,525.51,128.61,396.9,170.88,0.48,14.85,155.55,7.79,3.14,0.0,4.65,184.85,161.34,23.51,179.69,862.61,31.79,830.82,145.6,1.0,271.32
4393.57,1033.45,246.73,463.17,239.13,83.45,0.97,11.9,134.51,126.27,8.24,214.64,131.45,12.12,30.82,40.24,572.0,115.87,27.76,88.12,540.38,132.07,408.31,167.48,0.39,10.77,156.33,7.62,2.41,0.0,5.22,179.87,157.06,22.81,179.06,830.1,32.01,798.09,133.3,0.69,272.71
4676.41,1074.4,236.69,492.51,260.69,83.52,0.98,12.35,165.91,158.01,7.9,198.7,112.03,12.46,33.85,40.36,606.81,105.83,26.27,79.56,594.79,141.92,452.87,171.04,1.42,9.8,159.82,9.33,2.98,0.0,6.35,174.64,147.01,27.64,188.07,930.28,35.42,894.85,152.89,0.94,290.43
4532.27,1115.02,223.14,536.5,275.72,79.01,0.65,14.1,203.56,190.85,12.71,171.02,90.7,10.07,33.35,36.9,588.17,102.6,27.91,74.69,556.27,133.16,423.11,144.42,0.26,7.35,136.81,8.27,3.28,0.0,4.98,152.87,128.92,23.95,180.36,867.02,32.51,834.51,160.79,0.94,266.86
4037.01,890.81,180.89,410.0,225.03,74.06,0.83,11.41,120.64,113.38,7.26,164.48,82.55,9.88,35.14,36.91,549.49,122.97,31.66,91.31,533.07,121.3,411.77,140.85,0.45,8.48,131.92,8.9,3.1,0.0,5.8,147.83,123.18,24.65,185.06,789.15,28.21,760.94,132.8,0.73,238.82
