제주_합계,제주_종합소매,제주_ 백화점,제주_ 대형마트/유통전문점,제주_ 슈퍼마켓,제주_ 편의점,제주_ 면세점,제주_전자상거래/통신판매,제주_식료품,제주_ 일반식료품,제주_ 건강보조식품,제주_의류/잡화,제주_ 의복/직물,제주_ 복식잡화,제주_ 시계/귀금속/안경,제주_ 화장품,제주_연료,제주_가구/가전,제주_ 가구,제주_ 가전제품/정보통신기기,제주_의료/보건,제주_ 종합병원,제주_ 일반병의원/기타의료기관,제주_자동차,제주_ 국산자동차신품,제주_ 기타운송수단,제주_ 자동차 부품 및 정비,제주_여행/교통,제주_ 여행사/자동차임대,제주_ 항공사,제주_ 대중교통,제주_오락/문화,제주_ 스포츠/오락/여가,제주_ 서적/문구,제주_교육,제주_숙박/음식,제주_ 숙박,제주_ 음식점,제주_공과금/개인 및 전문 서비스,제주_금융/보험,제주_기타
4442.0,1006.28,0.0,370.99,220.96,113.09,301.23,105.25,187.12,179.26,7.85,193.37,128.24,19.84,17.45,27.84,350.15,91.82,22.73,69.09,281.88,55.56,226.32,91.35,0.3,4.92,86.12,381.56,41.15,333.19,7.22,267.8,247.8,20.0,80.86,1015.51,173.87,841.64,102.84,0.93,285.29
4526.71,994.6,0.0,392.61,227.9,108.33,265.76,111.11,175.02,169.24,5.79,184.98,117.59,20.32,18.6,28.46,389.16,102.04,25.38,76.67,279.14,57.89,221.25,95.6,0.2,5.27,90.13,403.94,44.07,354.58,5.29,238.43,211.92,26.51,81.44,1069.78,189.52,880.25,106.48,1.26,293.73
4629.04,1031.5,0.0,390.99,238.24,119.31,282.96,182.49,162.75,157.38,5.36,143.85,86.13,17.01,16.67,24.03,369.64,113.7,28.52,85.19,297.75,58.97,238.78,76.93,0.22,4.43,72.28,537.06,42.18,488.75,6.13,187.81,165.51,22.31,84.69,1078.65,197.11,881.54,101.27,1.34,259.6
3925.52,961.0,0.0,395.89,230.95,101.65,232.52,109.41,169.76,161.96,7.8,132.76,78.42,15.09,15.97,23.28,328.37,90.99,23.61,67.38,253.48,50.82,202.66,69.44,0.1,3.36,65.97,354.21,32.69,316.13,5.38,165.53,145.55,19.98,97.22,868.3,151.97,716.33,90.32,1.27,233.47
4487.27,1000.65,0.0,383.08,231.69,116.45,269.43,117.76,176.88,168.46,8.43,166.95,100.21,18.75,20.67,27.32,358.37,106.54,28.09,78.45,292.03,56.4,235.63,92.33,0.28,6.75,85.31,415.45,39.27,369.38,6.8,240.81,205.28,35.54,99.7,1024.68,166.82,857.85,109.3,1.54,284.29
4657.86,1067.0,0.0,397.26,244.35,126.1,299.29,102.84,201.19,190.76,10.43,170.47,102.69,20.82,21.0,25.96,339.11,103.27,25.79,77.48,288.82,55.49,233.33,87.31,0.13,7.4,79.78,413.96,45.64,358.97,9.35,261.44,238.69,22.75,84.62,1136.54,193.92,942.62,111.69,1.11,288.51
5022.37,1171.64,0.0,428.08,260.2,137.92,345.44,116.44,188.43,179.63,8.8,189.55,116.62,21.65,22.06,29.22,351.05,117.43,26.04,91.38,298.26,58.42,239.84,94.51,0.27,10.12,84.12,439.36,50.79,379.67,8.9,296.33,272.42,23.92,88.61,1255.65,240.58,1015.08,117.32,1.24,296.55
4757.36,1121.31,0.0,411.2,261.91,144.98,303.23,106.62,180.04,173.26,6.78,160.24,91.76,20.83,19.68,27.97,344.55,115.81,23.55,92.26,285.41,56.07,229.34,94.36,0.28,7.63,86.45,400.41,47.88,343.47,9.06,256.86,236.78,20.07,90.58,1202.66,225.7,976.96,111.03,1.43,286.06
4968.14,1155.69,0.0,459.82,273.29,154.48,268.1,149.12,154.11,148.88,5.23,156.76,87.82,20.69,21.15,27.1,362.92,131.43,24.61,106.82,304.68,58.93,245.75,96.63,0.17,6.49,89.97,490.39,60.36,421.51,8.52,230.64,207.37,23.27,89.89,1250.23,238.27,1011.96,116.06,1.44,278.16
5159.37,1255.67,0.0,473.47,296.28,170.37,315.55,112.97,167.98,162.92,5.06,132.21,62.94,20.46,21.46,27.35,385.27,102.9,25.06,77.84,290.74,60.14,230.6,96.16,0.26,6.56,89.34,406.12,72.37,323.13,10.62,239.11,215.47,23.64,111.06,1459.98,334.38,1125.6,118.32,1.34,279.55
4675.11,1194.67,0.02,473.36,288.44,143.15,289.7,93.21,220.45,210.1,10.35,165.41,99.07,20.0,18.81,27.53,347.68,88.63,25.15,63.47,278.41,52.58,225.83,88.02,0.14,5.28,82.6,311.08,42.05,259.63,9.4,244.56,221.37,23.19,91.97,1148.05,199.79,948.26,115.64,1.28,286.06
4819.14,1086.24,0.0,398.29,257.85,144.73,285.37,140.36,187.17,179.86,7.31,188.9,123.3,20.89,18.7,26.01,365.92,98.87,28.73,70.15,299.91,54.52,245.39,93.56,0.16,5.3,88.1,420.34,40.62,371.39,8.32,282.84,263.11,19.74,90.68,1152.79,207.79,944.99,116.96,1.33,293.26
4614.15,1029.9,0.0,376.04,237.55,129.34,286.97,128.15,193.08,184.86,8.22,185.27,122.46,19.23,16.92,26.66,350.23,90.33,25.09,65.24,304.05,57.63,246.42,96.11,0.21,5.09,90.81,405.63,35.64,363.2,6.79,274.48,255.01,19.47,89.12,1065.69,176.96,888.74,115.18,1.18,285.76
