충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
8399.58,1765.95,129.17,972.26,503.91,160.44,0.17,23.93,297.01,273.48,23.53,520.71,287.76,25.39,43.64,163.92,1332.38,291.12,36.74,254.38,588.73,115.72,473.01,297.05,0.27,11.42,285.37,19.62,2.78,0.0,16.84,391.26,349.24,42.02,324.07,1440.5,71.23,1369.28,362.47,0.35,744.41
8545.81,1732.16,121.69,958.01,493.58,158.83,0.05,26.18,268.67,249.42,19.25,508.28,267.73,25.66,46.39,168.49,1346.55,230.44,35.56,194.88,648.89,129.74,519.15,315.33,0.31,10.58,304.45,20.46,2.29,0.0,18.17,363.06,304.5,58.55,334.06,1543.37,75.95,1467.42,409.99,0.39,797.99
8103.78,1696.21,85.32,957.28,508.65,144.68,0.27,22.28,283.47,259.91,23.56,466.22,221.88,20.75,49.92,173.68,1264.73,205.77,35.47,170.3,680.98,129.19,551.79,281.56,0.22,11.2,270.14,19.51,2.54,0.0,16.97,303.51,255.9,47.61,315.25,1464.31,79.18,1385.13,364.9,0.32,734.74
7684.34,1776.61,98.81,1024.63,511.25,141.83,0.09,23.98,324.67,294.43,30.24,406.05,192.84,18.99,46.93,147.29,1146.1,211.81,37.66,174.15,603.58,117.17,486.41,229.68,0.22,12.03,217.43,16.45,2.6,0.14,13.71,280.31,236.65,43.66,341.8,1315.34,67.66,1247.68,335.78,0.49,671.7
8494.4,1746.88,104.21,962.87,509.91,169.79,0.1,24.86,267.56,245.4,22.16,490.3,238.7,24.94,55.98,170.68,1266.88,254.05,43.75,210.31,686.78,133.19,553.59,296.32,0.2,18.89,277.23,19.25,3.29,0.11,15.85,408.31,321.96,86.36,339.9,1516.12,64.49,1451.63,396.85,0.79,779.54
8395.97,1749.24,101.22,948.51,523.85,175.44,0.22,23.51,289.48,268.01,21.47,498.22,251.24,27.08,55.42,164.48,1244.86,217.15,39.88,177.27,654.26,126.78,527.48,297.8,0.28,18.92,278.6,12.56,3.03,0.17,9.36,403.91,354.46,49.46,304.47,1552.15,67.15,1484.99,369.97,0.61,777.77
9180.44,1996.88,119.55,1082.8,593.32,200.98,0.23,27.34,321.02,294.79,26.22,551.38,286.69,30.98,61.88,171.83,1375.45,297.54,50.73,246.81,640.05,129.39,510.66,303.08,0.42,23.45,279.22,11.45,2.87,0.2,8.38,452.66,402.13,50.53,323.84,1750.36,83.38,1666.98,380.47,0.58,748.33
8769.26,1880.88,89.98,1010.84,574.36,205.44,0.27,22.65,285.21,262.98,22.23,479.53,235.62,28.69,56.29,158.93,1386.38,301.32,47.68,253.64,640.23,128.59,511.63,311.19,0.36,20.78,290.05,12.82,2.71,0.16,9.96,395.09,349.37,45.72,306.56,1641.78,83.52,1558.26,368.14,0.52,736.95
9008.17,1919.01,84.51,1046.4,579.91,207.92,0.28,24.35,268.93,249.24,19.69,455.36,203.47,28.17,57.9,165.82,1427.9,373.57,45.72,327.85,664.28,136.39,527.89,322.65,0.27,18.9,303.49,12.16,2.95,0.23,8.98,385.17,334.52,50.65,318.78,1734.52,99.64,1634.88,367.12,1.15,733.21
9279.05,2052.05,89.95,1116.98,612.22,232.53,0.36,26.77,298.39,277.74,20.64,396.8,166.09,25.16,56.65,148.9,1450.15,344.57,50.44,294.13,653.99,135.4,518.59,311.49,0.26,20.11,291.12,12.71,3.12,0.15,9.43,396.35,348.99,47.36,362.41,1903.2,152.16,1751.04,354.67,1.11,714.37
8787.21,1998.1,103.43,1077.38,597.49,219.43,0.36,23.62,397.26,350.52,46.74,442.31,211.35,26.02,49.6,155.34,1363.99,251.5,50.01,201.49,657.12,123.91,533.21,286.77,0.32,17.69,268.76,13.05,2.83,0.13,10.09,378.32,324.39,53.93,325.5,1552.81,74.01,1478.8,363.64,0.83,732.39
9317.48,1957.49,120.33,1021.79,586.76,228.38,0.23,25.75,383.46,345.16,38.31,507.41,269.56,25.41,51.4,161.03,1455.21,291.04,52.38,238.66,712.44,127.22,585.22,302.43,0.39,16.26,285.78,14.38,2.98,0.22,11.18,454.67,407.55,47.13,343.32,1717.73,82.4,1635.34,393.86,0.99,757.28
9094.92,1854.53,124.46,969.3,548.44,212.23,0.1,23.76,316.24,292.56,23.68,531.43,297.3,23.69,45.34,165.1,1503.18,314.23,46.37,267.86,683.38,127.35,556.03,329.37,0.26,11.88,317.23,15.5,3.0,0.39,12.11,428.4,382.72,45.68,345.22,1563.17,72.0,1491.17,414.96,1.0,770.55
9262.28,1837.42,113.58,978.76,538.18,206.83,0.07,24.6,298.18,277.06,21.12,505.26,263.38,24.6,50.94,166.34,1551.47,248.14,40.3,207.84,782.47,144.76,637.71,343.1,0.29,12.77,330.04,15.74,2.42,0.43,12.9,373.63,313.08,60.54,347.59,1698.52,76.04,1622.48,438.17,1.31,796.68
8990.46,2024.64,99.84,1134.79,593.8,196.03,0.18,25.83,399.49,366.81,32.68,456.87,232.54,19.77,50.34,154.22,1508.76,241.68,39.83,201.85,710.28,134.05,576.24,270.82,0.25,10.22,260.34,12.88,2.6,0.42,9.86,311.5,261.7,49.8,323.08,1600.71,80.58,1520.13,394.86,1.22,707.83
8093.65,1575.62,91.49,847.31,459.36,177.37,0.08,21.56,237.59,220.71,16.88,416.32,187.52,18.83,53.95,156.02,1415.68,278.55,51.83,226.72,709.76,127.04,582.72,250.68,0.29,10.8,239.6,14.87,2.51,0.43,11.93,292.82,247.09,45.74,359.79,1471.37,70.88,1400.49,374.09,1.08,673.86
9485.37,1892.5,107.24,1004.26,562.27,218.7,0.04,27.36,302.48,282.54,19.94,505.63,247.7,24.03,63.27,170.63,1617.59,309.64,54.33,255.31,746.13,135.55,610.57,310.47,0.21,20.51,289.74,16.72,4.71,0.44,11.58,448.15,361.9,86.25,366.61,1703.82,66.26,1637.56,435.95,1.6,800.72
9442.1,1902.73,103.09,995.7,583.07,220.84,0.03,22.85,329.99,306.87,23.11,530.81,265.45,24.82,63.46,177.08,1552.34,320.23,47.87,272.36,758.0,133.11,624.89,305.92,0.23,19.9,285.79,16.8,3.11,0.53,13.16,442.75,390.74,52.01,317.03,1739.36,71.56,1667.8,407.49,1.54,794.26
10173.62,2180.71,123.7,1140.04,657.95,258.98,0.04,27.99,363.0,337.14,25.85,563.22,291.27,27.48,69.33,175.14,1588.58,365.03,50.24,314.79,748.84,137.29,611.55,310.95,0.26,22.68,288.0,17.72,3.72,0.54,13.46,500.92,446.72,54.2,347.76,1947.31,93.11,1854.19,411.73,1.25,798.61
9835.35,2143.56,87.05,1147.13,638.81,270.54,0.02,23.62,324.04,303.6,20.44,493.16,222.94,27.05,66.86,176.32,1529.52,357.96,47.71,310.25,763.67,140.92,622.75,326.43,0.28,22.26,303.89,17.22,2.83,0.66,13.73,439.56,391.9,47.66,337.72,1851.51,88.62,1762.89,399.8,1.87,825.73
10397.37,2298.07,88.93,1260.62,666.03,282.48,0.01,26.15,316.67,296.72,19.95,491.03,225.28,26.76,64.67,174.32,1554.16,496.7,57.78,438.93,789.72,149.16,640.56,343.19,0.26,19.04,323.88,15.15,3.15,0.88,11.12,419.54,368.32,51.23,357.35,2028.8,109.65,1919.16,422.07,1.91,836.86
10534.85,2302.7,83.48,1239.39,684.19,295.64,0.0,24.53,359.57,338.53,21.05,437.96,174.2,24.31,65.25,174.2,1587.93,397.46,59.17,338.28,836.03,155.59,680.45,340.89,0.39,20.3,320.2,18.57,3.67,0.67,14.24,425.8,374.13,51.67,376.47,2157.93,150.32,2007.61,419.92,1.83,847.24
